id,student_id,date,subject,grade
77,100619485,6/14/2017,Biololgy,70
76,100838900,6/14/2017,Biololgy,70
62,201104002,6/13/2017,Algebra I,79
63,201104004,6/13/2017,Algebra I,69
64,201104013,6/13/2017,Algebra I,80
78,201600001,6/13/2017,Algebra I,69
65,201600001,6/14/2017,Biololgy,83
66,613000002,6/14/2017,Biololgy,76
67,613000004,6/14/2017,Biololgy,88
56,613000005,6/13/2017,Algebra I,69
68,613000005,6/14/2017,Biololgy,80
57,613000008,6/13/2017,Algebra I,80
69,613000008,6/14/2017,Biololgy,86
58,613000012,6/13/2017,Algebra I,75
70,613000012,6/14/2017,Biololgy,78
59,613000013,6/13/2017,Algebra I,79
71,613000013,6/14/2017,Biololgy,72
60,613000017,6/13/2017,Algebra I,78
72,613000017,6/14/2017,Biololgy,85
73,613000022,6/14/2017,Biololgy,90
74,613000024,6/14/2017,Biololgy,88
61,613000025,6/13/2017,Algebra I,80
75,613000025,6/14/2017,Biololgy,68
